customer_id,first_name,last_name,city_id,house_number,area_name,birth_date,age
1,Stefanie,Frye,79,97,Oak Avenue,1994-11-11,30
2,Sandy,Kirby,96,52,White First Freeway,1984-05-09,41
3,Lee,Zhang,55,921,White Fabien Avenue,1994-08-31,31
4,Regina,Avery,40,75,Old Avenue,2002-03-31,23
5,Daniel,Mccann,2,283,South Green Hague Avenue,1993-11-13,31
6,Dennis,Zuniga,6,20,West Old Road,1967-06-13,58
7,Myra,Jefferson,68,26,Green First Parkway,1974-04-10,51
8,Teddy,Parsons,44,38,West Nobel St.,1997-04-21,28
9,Annie,Stein,46,17,White Nobel Way,1973-06-26,52
10,Herman,Pope,72,695,Old Street,1991-05-22,34
11,Jenifer,Winters,23,30,White Oak Way,1964-10-13,61
12,Stefanie,Gordon,57,29,Clarendon Street,1991-06-25,34
13,Chastity,Gillespie,37,801,East White Oak Boulevard,1989-05-15,36
14,Evelyn,Sweeney,53,73,Clarendon Road,1964-08-11,61
15,Jeannie,Gardner,76,13,Green Cowley Parkway,1961-01-22,64
16,Rickey,Ho,51,51,First Boulevard,1989-10-24,36
17,Bobbie,Simon,53,73,Rocky Fabien St.,1978-12-02,46
18,Lesley,Orr,46,16,Second Avenue,1990-10-14,35
19,Shawna,Herring,76,37,New Boulevard,1965-12-28,59
20,Theresa,Berg,83,41,Hague Road,1984-01-01,41
21,Tasha,Heath,34,332,Green Milton Blvd.,1997-08-06,28
22,Karla,Sutton,80,384,South Green Clarendon Drive,1979-03-06,46
23,Otis,Miller,65,121,South Old Street,1957-01-07,68
24,Alisa,Ruiz,42,573,West Old Drive,1987-03-25,38
25,Peggy,Sandoval,9,97,Second Way,1999-03-06,26
26,Lisa,Dennis,10,434,North Milton Parkway,1987-01-07,38
27,Vicky,Russell,36,878,Nobel St.,1986-07-27,39
28,Nicolas,Reese,16,847,Green Cowley Drive,1970-01-13,55
29,Miranda,Armstrong,63,605,White Oak Way,1978-04-30,47
30,Kara,Beltran,30,61,Nobel Drive,1966-03-27,59
31,Rosemary,Manning,64,651,New Parkway,1979-12-03,45
32,Ernest,Wright,49,389,Clarendon Street,1970-01-13,55
33,Lindsay,Santana,87,47,Green Nobel Avenue,1960-08-02,65
34,Lorenzo,Tucker,9,954,White New St.,1960-11-12,65
35,Tammie,Gaines,4,47,White Clarendon Boulevard,1956-07-07,69
36,Kareem,Gonzalez,90,10,White New Way,1992-11-20,32
