employee_id,first_name,last_name,birth_date,gender,city_id,hire_date
1,Nicole,Fuller,1981-03-07,F,80,2011-06-20
2,Christine,Palmer,1968-01-25,F,4,2011-04-27
3,Pablo,Cline,1963-02-09,M,70,2012-03-30
4,Darnell,Nielsen,1989-02-06,M,39,2014-03-06
5,Desiree,Stuart,1963-05-03,F,23,2014-11-16
6,Holly,Collins,1987-01-13,M,65,2013-06-22
7,Chadwick,Cook,1970-05-02,M,39,2016-07-10
8,Julie,Dyer,1956-12-13,M,18,2014-10-14
9,Daphne,King,1956-05-02,F,39,2013-04-17
10,Jean,Vang,1963-12-30,M,9,2012-07-23
11,Sonya,Dickson,1976-01-14,F,12,2016-08-10
12,Lindsay,Chen,1951-09-03,F,58,2011-11-03
13,Katina,Marks,1963-04-18,M,68,2011-12-12
14,Wendi,Buckley,1961-09-05,M,32,2016-07-11
15,Kari,Finley,1972-02-17,M,92,2014-07-13
16,Chadwick,Walton,1951-07-07,M,28,2017-02-10
17,Seth,Franco,1989-08-29,M,80,2010-07-11
18,Warren,Bartlett,1964-03-09,M,58,2010-02-22
19,Bernard,Moody,1970-03-22,M,54,2013-11-12
20,Shelby,Riddle,1964-06-13,M,14,2013-03-24
21,Devon,Brewer,1966-04-25,M,65,2016-01-24
22,Tonia,Mc Millan,1952-03-02,F,53,2015-11-25
23,Janet,Flowers,1979-03-01,F,7,2010-05-12
24,Employee24,City81,1988-12-06,M,81,2020-05-11 00:00:00
25,Employee25,City81,1994-03-09,M,81,2018-06-28 00:00:00
26,Employee26,City81,1980-02-16,F,81,2020-08-19 00:00:00
27,Employee27,City81,1991-09-09,M,81,2020-08-19 00:00:00
28,Employee28,City81,1997-03-06,M,81,2021-06-08 00:00:00
29,Employee29,City78,1996-09-17,M,78,2019-03-06 00:00:00
30,Employee30,City78,1995-03-18,F,78,2020-02-24 00:00:00
31,Employee31,City78,1982-08-16,F,78,2020-08-02 00:00:00
32,Employee32,City78,1987-07-19,M,78,2023-10-07 00:00:00
33,Employee33,City78,1996-06-23,F,78,2016-07-15 00:00:00
34,Employee34,City74,1985-07-27,M,74,2023-04-13 00:00:00
35,Employee35,City74,1996-02-19,F,74,2024-07-20 00:00:00
36,Employee36,City74,1996-01-07,M,74,2015-08-03 00:00:00
37,Employee37,City74,1983-12-22,F,74,2020-08-24 00:00:00
38,Employee38,City74,1997-09-25,M,74,2023-09-03 00:00:00
39,Employee39,City95,1982-07-16,F,95,2018-08-07 00:00:00
40,Employee40,City95,1986-11-15,M,95,2021-08-20 00:00:00
41,Employee41,City95,1984-11-28,M,95,2023-07-16 00:00:00
42,Employee42,City95,1999-02-11,F,95,2020-01-22 00:00:00
43,Employee43,City95,1992-12-22,M,95,2022-12-12 00:00:00
44,Employee44,City34,1994-03-10,F,34,2022-05-20 00:00:00
45,Employee45,City34,1983-08-27,F,34,2018-08-05 00:00:00
46,Employee46,City34,1998-08-10,F,34,2017-01-03 00:00:00
47,Employee47,City34,1985-07-06,M,34,2019-06-12 00:00:00
48,Employee48,City34,1985-07-25,F,34,2016-06-25 00:00:00
49,Employee49,City80,1994-01-29,M,80,2020-07-05 00:00:00
50,Employee50,City80,1993-10-13,F,80,2020-09-17 00:00:00
51,Employee51,City80,2000-08-07,M,80,2015-04-21 00:00:00
52,Employee52,City70,1989-05-27,M,70,2022-03-09 00:00:00
53,Employee53,City70,1995-01-25,F,70,2017-12-10 00:00:00
54,Employee54,City70,1987-04-07,F,70,2024-11-30 00:00:00
55,Employee55,City70,1992-07-17,F,70,2017-03-29 00:00:00
56,Employee56,City43,1991-02-04,F,43,2024-09-30 00:00:00
57,Employee57,City43,1995-01-23,F,43,2020-07-08 00:00:00
58,Employee58,City43,1996-08-09,M,43,2017-12-21 00:00:00
59,Employee59,City43,1988-09-09,M,43,2016-06-05 00:00:00
60,Employee60,City43,1981-11-16,M,43,2019-10-02 00:00:00
61,Employee61,City1,1997-06-07,F,1,2016-10-04 00:00:00
62,Employee62,City1,1993-09-02,F,1,2016-02-23 00:00:00
63,Employee63,City1,2000-08-20,M,1,2023-08-03 00:00:00
64,Employee64,City1,1990-05-27,M,1,2022-11-23 00:00:00
65,Employee65,City1,1992-06-16,M,1,2016-07-29 00:00:00
66,Employee66,City11,1996-11-24,M,11,2019-09-25 00:00:00
67,Employee67,City11,1996-07-25,F,11,2022-12-26 00:00:00
68,Employee68,City11,1994-04-15,M,11,2019-06-20 00:00:00
69,Employee69,City11,1984-07-05,F,11,2022-06-03 00:00:00
70,Employee70,City11,1988-03-20,M,11,2021-11-19 00:00:00
71,Employee71,City65,1985-01-12,M,65,2016-03-30 00:00:00
72,Employee72,City65,1998-01-24,M,65,2017-06-06 00:00:00
73,Employee73,City65,1983-06-30,F,65,2018-06-15 00:00:00
74,Employee74,City31,1995-04-04,M,31,2017-06-06 00:00:00
75,Employee75,City31,1988-03-25,M,31,2015-08-30 00:00:00
76,Employee76,City31,1988-03-30,M,31,2019-07-18 00:00:00
77,Employee77,City31,1982-07-29,F,31,2021-10-02 00:00:00
78,Employee78,City31,1999-03-13,F,31,2023-09-29 00:00:00
79,Employee79,City19,1986-08-08,F,19,2023-02-15 00:00:00
80,Employee80,City19,1995-10-22,F,19,2022-04-08 00:00:00
81,Employee81,City19,1983-07-07,F,19,2021-12-07 00:00:00
82,Employee82,City19,1992-08-01,F,19,2021-04-27 00:00:00
83,Employee83,City19,1995-03-13,F,19,2018-05-04 00:00:00
84,Employee84,City5,1982-05-09,F,5,2024-11-28 00:00:00
85,Employee85,City5,1997-04-17,F,5,2022-10-20 00:00:00
86,Employee86,City5,1993-07-06,M,5,2017-01-31 00:00:00
87,Employee87,City5,1996-03-10,F,5,2023-10-12 00:00:00
88,Employee88,City5,1993-08-24,F,5,2024-08-23 00:00:00
89,Employee89,City32,1994-09-28,F,32,2021-07-01 00:00:00
90,Employee90,City32,1984-02-27,M,32,2015-09-26 00:00:00
91,Employee91,City32,1983-03-12,F,32,2021-01-11 00:00:00
92,Employee92,City32,1999-03-09,F,32,2019-04-12 00:00:00
93,Employee93,City27,1980-03-01,M,27,2024-12-06 00:00:00
94,Employee94,City27,1995-06-21,M,27,2015-01-02 00:00:00
95,Employee95,City27,2000-04-07,F,27,2023-08-12 00:00:00
96,Employee96,City27,1994-09-16,M,27,2016-07-22 00:00:00
97,Employee97,City27,1981-02-02,M,27,2019-01-23 00:00:00
98,Employee98,City13,1990-09-13,M,13,2021-11-18 00:00:00
99,Employee99,City13,2000-06-22,M,13,2022-05-10 00:00:00
100,Employee100,City13,1981-01-15,M,13,2021-09-23 00:00:00
101,Employee101,City13,1996-02-01,F,13,2020-04-15 00:00:00
102,Employee102,City13,1994-12-03,M,13,2023-04-22 00:00:00
103,Employee103,City23,1987-03-21,M,23,2021-03-09 00:00:00
104,Employee104,City23,1981-07-29,F,23,2019-08-01 00:00:00
105,Employee105,City23,1984-01-10,M,23,2021-09-18 00:00:00
106,Employee106,City23,1987-02-01,F,23,2019-09-06 00:00:00
107,Employee107,City54,1992-08-12,M,54,2020-10-14 00:00:00
108,Employee108,City54,1987-08-15,F,54,2024-07-04 00:00:00
109,Employee109,City54,1998-04-23,F,54,2022-09-28 00:00:00
110,Employee110,City54,1996-02-25,F,54,2024-11-13 00:00:00
111,Employee111,City86,1994-12-25,M,86,2017-04-11 00:00:00
112,Employee112,City86,1993-11-29,M,86,2018-05-06 00:00:00
113,Employee113,City86,1987-02-12,M,86,2018-01-19 00:00:00
114,Employee114,City86,2000-05-21,M,86,2016-09-27 00:00:00
